"","POINT_X","POINT_Y","_RUN1","_RUN2","_RUN3","_Full"
"1",10.76662,59.88771,FALSE,TRUE,FALSE,TRUE
"2",10.06781,59.63961,TRUE,TRUE,TRUE,TRUE
"3",-9.27646,53.07557,FALSE,TRUE,TRUE,TRUE
"4",-99.25,19.2,TRUE,TRUE,TRUE,TRUE
"5",-104.059,19.448,FALSE,TRUE,TRUE,TRUE
"6",6.75,51.15003,FALSE,TRUE,TRUE,TRUE
"7",11.08333,52.15003,TRUE,TRUE,TRUE,TRUE
"8",7.25,53.75003,TRUE,TRUE,FALSE,TRUE
"9",10.25,52.15003,TRUE,FALSE,TRUE,TRUE
"10",11.58333,48.65003,TRUE,TRUE,TRUE,TRUE
"11",9.91667,48.45002,TRUE,TRUE,TRUE,TRUE
"12",11.08333,54.25003,TRUE,TRUE,TRUE,TRUE
"13",-1.60492,55.42824,TRUE,FALSE,TRUE,TRUE
"14",-1.77875,52.55228,TRUE,FALSE,TRUE,TRUE
"15",-0.19342,51.63943,TRUE,TRUE,TRUE,TRUE
"16",-1.34948,51.65152,FALSE,TRUE,FALSE,TRUE
"17",-5.91054,54.6051,TRUE,TRUE,TRUE,TRUE
"18",-2.50103,51.20262,FALSE,FALSE,TRUE,TRUE
"19",-2.38806,54.70929,FALSE,TRUE,TRUE,TRUE
"20",-0.33127,51.82133,TRUE,FALSE,TRUE,TRUE
"21",8.08333,53.15003,TRUE,TRUE,TRUE,TRUE
"22",5.53732,60.20903,FALSE,TRUE,TRUE,TRUE
"23",10.11514,62.12498,FALSE,TRUE,TRUE,TRUE
"24",10.30691,62.1983,TRUE,FALSE,FALSE,TRUE
"25",7.25,50.75003,TRUE,TRUE,TRUE,TRUE
"26",6.58333,51.45003,TRUE,TRUE,TRUE,TRUE
"27",11.41667,48.45003,TRUE,TRUE,TRUE,TRUE
"28",10.41667,52.55003,TRUE,TRUE,TRUE,TRUE
"29",7.75,48.45003,TRUE,TRUE,TRUE,TRUE
"30",5.64187,51.97064,TRUE,FALSE,TRUE,TRUE
"31",-6.53871,53.2891,TRUE,TRUE,TRUE,TRUE
"32",-9.26495,52.16804,TRUE,TRUE,TRUE,TRUE
"33",-6.5454,52.20179,TRUE,TRUE,FALSE,TRUE
"34",-1.60847,55.06877,TRUE,FALSE,TRUE,TRUE
"35",-1.60759,55.15864,TRUE,TRUE,FALSE,TRUE
"36",-3.62079,50.47293,TRUE,TRUE,TRUE,TRUE
"37",-2.38382,54.2599,FALSE,TRUE,FALSE,TRUE
"38",-1.77458,53.3614,TRUE,FALSE,TRUE,TRUE
"39",-3.76166,50.47088,TRUE,TRUE,TRUE,TRUE
"40",-2.35928,51.383,TRUE,TRUE,TRUE,TRUE
"41",-4.61195,55.49088,TRUE,TRUE,FALSE,TRUE
"42",16.475,58.2795,TRUE,TRUE,TRUE,TRUE
"43",11.93565,61.91988,TRUE,TRUE,FALSE,TRUE
"44",7.08333,50.65003,FALSE,TRUE,TRUE,TRUE
"45",9.08333,48.55003,FALSE,TRUE,TRUE,TRUE
"46",12.41667,49.35003,FALSE,TRUE,TRUE,TRUE
"47",10.08333,48.55002,TRUE,TRUE,TRUE,TRUE
"48",6.5,49.79,TRUE,TRUE,TRUE,TRUE
"49",7.18711,58.13695,FALSE,TRUE,FALSE,TRUE
"50",8.58333,49.15003,FALSE,TRUE,TRUE,TRUE
"51",8.08333,50.05003,TRUE,FALSE,FALSE,TRUE
"52",19.7,64.3,TRUE,TRUE,TRUE,TRUE
"53",11.41667,48.55003,FALSE,TRUE,TRUE,TRUE
"54",14.91667,50.95003,TRUE,TRUE,TRUE,TRUE
"55",11.91667,48.05002,FALSE,TRUE,TRUE,TRUE
"56",10.91667,51.45003,TRUE,TRUE,TRUE,TRUE
"57",10.25,54.05003,TRUE,TRUE,TRUE,TRUE
"58",10.30487,62.19775,TRUE,FALSE,TRUE,TRUE
"59",-0.34442,51.46179,TRUE,TRUE,TRUE,TRUE
"60",-0.74895,52.45596,TRUE,TRUE,FALSE,TRUE
"61",-0.05283,51.54724,TRUE,TRUE,TRUE,TRUE
"62",-6.60225,52.45828,TRUE,TRUE,TRUE,TRUE
"63",-4.3283,53.33889,TRUE,FALSE,TRUE,TRUE
"64",6.37537,52.23642,FALSE,TRUE,TRUE,TRUE
"65",12.8289,56.6646,TRUE,TRUE,TRUE,TRUE
"66",12.25,49.35003,TRUE,FALSE,TRUE,TRUE
"67",14.41667,52.65003,TRUE,TRUE,TRUE,TRUE
"68",-6.92431,52.86188,TRUE,TRUE,TRUE,TRUE
"69",10.47279,59.38335,TRUE,TRUE,TRUE,TRUE
"70",10.81758,59.85391,FALSE,TRUE,FALSE,TRUE
"71",10.3991,59.11677,TRUE,FALSE,TRUE,TRUE
"72",15.4234,59.1864,TRUE,TRUE,FALSE,TRUE
"73",17.3268,59.9949,FALSE,FALSE,TRUE,TRUE
"74",7.8,48.9,TRUE,TRUE,FALSE,TRUE
"75",11.25,48.55002,TRUE,TRUE,TRUE,TRUE
"76",-0.47934,51.73341,TRUE,TRUE,TRUE,TRUE
"77",-6.36094,56.97023,TRUE,TRUE,TRUE,TRUE
"78",-0.05665,51.45737,TRUE,TRUE,TRUE,TRUE
"79",-3.3492,55.60118,TRUE,FALSE,TRUE,TRUE
"80",-3.30483,54.25345,TRUE,TRUE,FALSE,TRUE
"81",-3.90613,50.55855,TRUE,TRUE,TRUE,TRUE
"82",-0.35089,51.28201,TRUE,FALSE,TRUE,TRUE
"83",7.27871,44.117,FALSE,TRUE,TRUE,TRUE
"84",8.25,48.95003,TRUE,TRUE,TRUE,TRUE
"85",9.83171,61.58662,TRUE,TRUE,TRUE,TRUE
"86",9.64315,58.89722,TRUE,TRUE,TRUE,TRUE
"87",8.25,49.45003,TRUE,TRUE,TRUE,TRUE
"88",8.08333,49.25003,TRUE,TRUE,TRUE,TRUE
"89",4,47.2,FALSE,TRUE,TRUE,TRUE
"90",10.91667,52.15003,TRUE,FALSE,TRUE,TRUE
"91",11.08333,50.65003,FALSE,TRUE,TRUE,TRUE
"92",13.2046,55.7037,TRUE,FALSE,TRUE,TRUE
"93",10.09638,59.01348,FALSE,TRUE,TRUE,TRUE
"94",-0.34116,51.55168,TRUE,TRUE,TRUE,TRUE
"95",0.09131,51.54476,TRUE,FALSE,TRUE,TRUE
"96",-6.59364,52.72781,TRUE,TRUE,TRUE,TRUE
"97",-0.63493,51.3756,TRUE,FALSE,TRUE,TRUE
"98",-6.88736,52.82081,TRUE,TRUE,TRUE,TRUE
"99",-98.717,20.209,TRUE,TRUE,TRUE,TRUE
"100",-99.067,19.017,FALSE,TRUE,TRUE,TRUE
"101",-6.65126,53.52405,TRUE,TRUE,TRUE,TRUE
"102",-9.34992,53.03881,TRUE,TRUE,FALSE,TRUE
"103",14.276,55.655,TRUE,TRUE,FALSE,TRUE
"104",7.80877,48.54922,TRUE,FALSE,TRUE,TRUE
"105",-0.20053,51.45967,TRUE,TRUE,FALSE,TRUE
"106",-4.32215,55.94617,TRUE,TRUE,TRUE,TRUE
"107",-1.76561,54.9793,TRUE,TRUE,TRUE,TRUE
"108",-2.38299,54.17002,TRUE,TRUE,FALSE,TRUE
"109",-0.59896,52.54419,TRUE,TRUE,TRUE,TRUE
"110",-0.24249,54.0679,TRUE,TRUE,TRUE,TRUE
"111",11.91667,48.25002,TRUE,TRUE,TRUE,TRUE
"112",10.80337,62.14096,TRUE,TRUE,TRUE,TRUE
"113",10.55609,59.2115,TRUE,FALSE,TRUE,TRUE
"114",8.91667,48.55003,TRUE,TRUE,TRUE,TRUE
"115",16.3792,56.4249,TRUE,TRUE,TRUE,TRUE
"116",10.61817,59.9173,TRUE,FALSE,TRUE,TRUE
"117",-1.45187,55.06817,FALSE,TRUE,TRUE,TRUE
"118",-3.23354,51.8267,TRUE,TRUE,FALSE,TRUE
"119",-3.11993,53.08664,TRUE,TRUE,TRUE,TRUE
"120",-6.61072,52.18873,TRUE,TRUE,FALSE,TRUE
"121",-7.7641,55.25176,TRUE,TRUE,TRUE,TRUE
"122",5.64213,52.01558,TRUE,TRUE,FALSE,TRUE
"123",-5.7559,54.60233,TRUE,TRUE,TRUE,TRUE
"124",-0.7904,50.92763,TRUE,TRUE,TRUE,TRUE
"125",-1.76613,54.88943,TRUE,TRUE,TRUE,TRUE
"126",-5.95555,54.80809,TRUE,FALSE,TRUE,TRUE
"127",-8.5,40.2,TRUE,TRUE,TRUE,TRUE
"128",12.08333,53.35003,TRUE,TRUE,TRUE,TRUE
"129",10.45082,59.0667,TRUE,TRUE,TRUE,TRUE
"130",13.41667,54.05003,TRUE,TRUE,TRUE,TRUE
"131",12.684,56.708,FALSE,TRUE,TRUE,TRUE
"132",-0.85855,53.89554,TRUE,TRUE,TRUE,TRUE
"133",-2.65052,51.65152,TRUE,TRUE,TRUE,TRUE
"134",-3.36167,55.96053,TRUE,TRUE,TRUE,TRUE
"135",11.25,48.75002,TRUE,TRUE,TRUE,TRUE
"136",12.08333,49.35003,TRUE,TRUE,FALSE,TRUE
"137",14.2852,53.14963,FALSE,FALSE,FALSE,TRUE
"138",12.9245,55.5695,TRUE,TRUE,TRUE,TRUE
"139",10.08333,51.55003,TRUE,TRUE,FALSE,TRUE
"140",-0.2,51.2,FALSE,TRUE,TRUE,TRUE
"141",-6.4985,52.29108,TRUE,TRUE,FALSE,TRUE
"142",-98.65,20.633,TRUE,TRUE,TRUE,TRUE
