"","POINT_X","POINT_Y","_RUN1","_RUN2","_RUN3","_Full"
"1",18.82932,69.60769,TRUE,TRUE,TRUE,TRUE
"2",-6.45253,54.42015,TRUE,FALSE,TRUE,TRUE
"3",6.02853,62.50975,TRUE,TRUE,TRUE,TRUE
"4",-1.1482,54.61703,TRUE,TRUE,TRUE,TRUE
"5",-0.49424,51.28394,FALSE,TRUE,TRUE,TRUE
"6",-1.78054,52.19263,TRUE,FALSE,FALSE,TRUE
"7",-0.34116,51.55168,FALSE,TRUE,TRUE,TRUE
"8",-94.15,58.76,FALSE,FALSE,FALSE,TRUE
"9",-94,58.77,TRUE,FALSE,TRUE,TRUE
"10",11.01084,59.03273,TRUE,TRUE,TRUE,TRUE
"11",10.75,53.95003,TRUE,TRUE,FALSE,TRUE
"12",6.70076,58.06718,FALSE,TRUE,TRUE,TRUE
"13",6.61992,58.08736,TRUE,TRUE,TRUE,TRUE
"14",6.77904,58.06776,FALSE,FALSE,TRUE,TRUE
"15",-2.88321,56.05475,TRUE,FALSE,TRUE,TRUE
"16",-6.17682,56.79664,TRUE,TRUE,TRUE,TRUE
"17",-6.19193,55.2386,TRUE,TRUE,TRUE,TRUE
"18",5.70356,58.53611,TRUE,TRUE,TRUE,TRUE
"19",5.70669,58.53571,TRUE,TRUE,FALSE,TRUE
"20",7.4465,58.01937,TRUE,TRUE,TRUE,TRUE
"21",24.7453,71.10851,TRUE,TRUE,TRUE,TRUE
"22",9.97368,58.98469,TRUE,TRUE,TRUE,TRUE
"23",4.90004,61.84374,TRUE,TRUE,TRUE,TRUE
"24",19.77655,80.35046,TRUE,TRUE,TRUE,TRUE
"25",6.78308,58.06465,TRUE,TRUE,TRUE,TRUE
"26",10.71909,59.88094,FALSE,TRUE,TRUE,TRUE
"27",18.71912,70.07899,FALSE,TRUE,FALSE,TRUE
"28",10.08831,59.00932,TRUE,TRUE,TRUE,TRUE
"29",-94.2,58.78,FALSE,TRUE,TRUE,TRUE
"30",-94.19,58.78,TRUE,TRUE,FALSE,TRUE
"31",18.5,57.5,TRUE,TRUE,TRUE,TRUE
"32",18.54309,80.01209,TRUE,TRUE,TRUE,TRUE
"33",10.3925,59.06904,TRUE,TRUE,TRUE,TRUE
"34",14.21078,78.06214,TRUE,TRUE,FALSE,TRUE
"35",-0.38827,54.24973,TRUE,TRUE,TRUE,TRUE
"36",-0.40896,53.71062,TRUE,TRUE,TRUE,TRUE
"37",0.80062,51.35007,TRUE,TRUE,FALSE,TRUE
"38",-3.85928,56.31352,TRUE,FALSE,TRUE,TRUE
"39",12.21985,65.94903,TRUE,FALSE,TRUE,TRUE
"40",16.565,56.4039,TRUE,TRUE,TRUE,TRUE
"41",18.03571,69.63096,TRUE,TRUE,TRUE,TRUE
"42",19.29305,69.22194,TRUE,TRUE,TRUE,TRUE
"43",6.9302,62.90293,TRUE,TRUE,TRUE,TRUE
"44",10.08333,54.35003,TRUE,TRUE,TRUE,TRUE
"45",13.0661,55.3738,TRUE,TRUE,FALSE,TRUE
"46",16.92688,69.37952,FALSE,TRUE,TRUE,TRUE
"47",10.63503,59.8925,FALSE,TRUE,FALSE,TRUE
"48",21.31964,77.97031,FALSE,TRUE,FALSE,TRUE
"49",-5.90014,54.37586,FALSE,TRUE,FALSE,TRUE
"50",-10.02658,53.79306,TRUE,TRUE,TRUE,TRUE
"51",-6.18637,53.46398,TRUE,TRUE,TRUE,TRUE
"52",-9.50937,52.04832,TRUE,TRUE,TRUE,TRUE
"53",16.5767,56.7992,TRUE,TRUE,TRUE,TRUE
"54",-1.92911,50.75401,TRUE,TRUE,TRUE,TRUE
"55",-0.7064,53.894,TRUE,TRUE,TRUE,TRUE
"56",-3.98254,52.35603,TRUE,FALSE,TRUE,TRUE
"57",-2.0753,53.45148,TRUE,TRUE,FALSE,TRUE
"58",12.3575,56.9243,TRUE,TRUE,TRUE,TRUE
"59",6.7849,58.06015,FALSE,FALSE,TRUE,TRUE
"60",13.38106,79.42159,TRUE,TRUE,FALSE,TRUE
"61",5.01801,61.8598,TRUE,TRUE,TRUE,TRUE
"62",30.59823,70.54126,FALSE,TRUE,FALSE,TRUE
"63",21.80282,80.20742,TRUE,TRUE,TRUE,TRUE
"64",-1.49897,51.20262,TRUE,TRUE,TRUE,TRUE
"65",-4.13362,52.44333,TRUE,FALSE,TRUE,TRUE
"66",-9.65834,51.556,TRUE,TRUE,FALSE,TRUE
"67",-0.62412,51.73519,TRUE,TRUE,FALSE,TRUE
"68",12.908,56.6168,FALSE,TRUE,FALSE,TRUE
"69",5.77905,58.52464,FALSE,TRUE,TRUE,TRUE
"70",5.79616,58.51185,TRUE,FALSE,TRUE,TRUE
"71",15.70068,78.21882,TRUE,FALSE,FALSE,TRUE
"72",10.49923,59.29141,FALSE,TRUE,TRUE,TRUE
"73",9.96905,58.98272,TRUE,FALSE,TRUE,TRUE
"74",9.92687,58.97858,TRUE,TRUE,TRUE,TRUE
"75",5.9,61.8,TRUE,TRUE,TRUE,TRUE
"76",-0.20053,51.45967,TRUE,TRUE,FALSE,TRUE
"77",-4.38894,51.71896,TRUE,TRUE,TRUE,TRUE
"78",-2.88117,55.9649,TRUE,TRUE,TRUE,TRUE
"79",-3.20152,55.96219,TRUE,TRUE,FALSE,TRUE
