"","POINT_X","POINT_Y","_RUN1","_RUN2","_RUN3","_Full"
"1",12.38533,66.05839,TRUE,FALSE,FALSE,TRUE
"2",10.76662,59.88771,TRUE,TRUE,TRUE,TRUE
"3",18.11472,69.77316,FALSE,TRUE,TRUE,TRUE
"4",23.70938,70.87746,TRUE,TRUE,FALSE,TRUE
"5",19.41959,69.63126,TRUE,FALSE,TRUE,TRUE
"6",28.87058,70.83487,TRUE,TRUE,TRUE,TRUE
"7",23.51813,69.80282,FALSE,TRUE,TRUE,TRUE
"8",16.92688,69.37952,TRUE,TRUE,TRUE,TRUE
"9",10.39731,59.06621,TRUE,TRUE,TRUE,TRUE
"10",6.61861,58.08825,TRUE,TRUE,TRUE,TRUE
"11",9.83171,61.58662,TRUE,TRUE,TRUE,TRUE
"12",10.43528,59.06389,TRUE,TRUE,TRUE,TRUE
"13",10.4525,59.06994,TRUE,TRUE,TRUE,TRUE
"14",7.08333,50.65003,TRUE,TRUE,TRUE,TRUE
"15",5.4,50,FALSE,TRUE,TRUE,TRUE
"16",9.58333,51.95003,TRUE,TRUE,TRUE,TRUE
"17",6.75,51.15003,TRUE,TRUE,TRUE,TRUE
"18",15.6,50.9,TRUE,TRUE,TRUE,TRUE
"19",7.25,53.75003,TRUE,FALSE,TRUE,TRUE
"20",13.41667,51.35003,TRUE,FALSE,TRUE,TRUE
"21",10.25,52.15003,FALSE,TRUE,TRUE,TRUE
"22",9.75,51.75003,TRUE,TRUE,TRUE,TRUE
"23",-1.47292,53.45034,TRUE,TRUE,TRUE,TRUE
"24",-8.98897,53.90028,FALSE,FALSE,TRUE,TRUE
"25",-2.52708,53.45034,TRUE,TRUE,TRUE,TRUE
"26",19.77655,80.35046,TRUE,FALSE,FALSE,TRUE
"27",7.43393,58.01487,TRUE,TRUE,TRUE,TRUE
"28",6.75644,58.06665,TRUE,TRUE,TRUE,TRUE
"29",10.64426,62.09583,FALSE,TRUE,TRUE,TRUE
"30",9.72103,62.18185,FALSE,TRUE,TRUE,TRUE
"31",10.60988,62.11051,TRUE,TRUE,TRUE,TRUE
"32",13.4785,55.7076,TRUE,TRUE,TRUE,TRUE
"33",13.2782,55.7194,TRUE,TRUE,TRUE,TRUE
"34",12.974,61.7444,TRUE,TRUE,TRUE,TRUE
"35",8.58333,49.15003,TRUE,TRUE,TRUE,TRUE
"36",8.08333,50.05003,FALSE,FALSE,TRUE,TRUE
"37",7.25,50.75003,TRUE,FALSE,TRUE,TRUE
"38",7.75,53.75003,TRUE,FALSE,TRUE,TRUE
"39",6.58333,51.45003,TRUE,TRUE,TRUE,TRUE
"40",11.41667,48.45003,TRUE,TRUE,FALSE,TRUE
"41",9.58333,51.85003,TRUE,FALSE,TRUE,TRUE
"42",9.58333,51.75003,TRUE,TRUE,TRUE,TRUE
"43",10.7,59.6,TRUE,TRUE,FALSE,TRUE
"44",10.8,60.4,TRUE,TRUE,TRUE,TRUE
"45",8.08333,48.85002,TRUE,FALSE,TRUE,TRUE
"46",13.25,53.35003,TRUE,TRUE,TRUE,TRUE
"47",13.91667,52.85003,TRUE,TRUE,TRUE,TRUE
"48",14.25,51.65003,FALSE,FALSE,TRUE,TRUE
"49",11.58333,51.85003,TRUE,TRUE,TRUE,TRUE
"50",8.75,50.15003,FALSE,TRUE,TRUE,TRUE
"51",6.41667,50.95003,TRUE,TRUE,TRUE,TRUE
"52",12.58333,51.55003,TRUE,TRUE,TRUE,TRUE
"53",14.4086,56.1394,TRUE,TRUE,TRUE,TRUE
"54",12.8134,55.3815,TRUE,TRUE,TRUE,TRUE
"55",10.74152,59.89505,FALSE,TRUE,TRUE,TRUE
"56",10.70555,59.88787,FALSE,TRUE,TRUE,TRUE
"57",16.51603,69.08466,TRUE,TRUE,FALSE,TRUE
"58",6.79191,58.06553,TRUE,FALSE,TRUE,TRUE
"59",19.40121,68.82621,TRUE,FALSE,TRUE,TRUE
"60",19.11523,69.59536,TRUE,TRUE,FALSE,TRUE
"61",19.26783,69.5461,TRUE,FALSE,TRUE,TRUE
