"","POINT_X","POINT_Y","_RUN1","_RUN2","_RUN3","_Full"
"1",12.39577,65.89408,FALSE,TRUE,TRUE,TRUE
"2",-6.38049,54.29342,TRUE,FALSE,FALSE,TRUE
"3",-98.65,19.033,TRUE,FALSE,TRUE,TRUE
"4",-106.216,31.458,TRUE,TRUE,FALSE,TRUE
"5",13.31093,52.45615,FALSE,TRUE,TRUE,TRUE
"6",11.75,51.05003,TRUE,TRUE,TRUE,TRUE
"7",10.58333,51.85003,FALSE,TRUE,FALSE,TRUE
"8",-4.02385,53.25453,TRUE,TRUE,TRUE,TRUE
"9",-0.85855,53.89554,FALSE,TRUE,TRUE,TRUE
"10",8.08333,53.15003,FALSE,TRUE,TRUE,TRUE
"11",6.58333,51.45003,TRUE,FALSE,TRUE,TRUE
"12",8.25,49.25003,TRUE,TRUE,TRUE,TRUE
"13",8.25,49.45003,TRUE,TRUE,FALSE,TRUE
"14",8.08333,49.45003,TRUE,TRUE,FALSE,TRUE
"15",8.08333,49.25003,TRUE,TRUE,TRUE,TRUE
"16",7.75,48.45003,TRUE,TRUE,TRUE,TRUE
"17",9.614,58.88701,TRUE,TRUE,FALSE,TRUE
"18",5.20438,52.19548,TRUE,FALSE,FALSE,TRUE
"19",6.90294,52.68027,TRUE,FALSE,TRUE,TRUE
"20",5.85593,51.5655,TRUE,TRUE,FALSE,TRUE
"21",6.61989,53.1329,TRUE,TRUE,TRUE,TRUE
"22",6.29486,51.87753,TRUE,TRUE,TRUE,TRUE
"23",5.13304,51.88076,TRUE,TRUE,FALSE,TRUE
"24",5.27806,51.97087,FALSE,FALSE,TRUE,TRUE
"25",4.83985,52.10447,TRUE,FALSE,TRUE,TRUE
"26",5.71139,51.52105,TRUE,TRUE,TRUE,TRUE
"27",5.78187,51.34105,TRUE,FALSE,FALSE,TRUE
"28",6.44429,52.05605,TRUE,FALSE,TRUE,TRUE
"29",5.78739,51.97024,TRUE,TRUE,TRUE,TRUE
"30",6.08472,52.37332,FALSE,FALSE,TRUE,TRUE
"31",4.83202,52.73357,TRUE,TRUE,TRUE,TRUE
"32",5.4994,53.18412,TRUE,TRUE,TRUE,TRUE
"33",4.908,52.55415,TRUE,TRUE,TRUE,TRUE
"34",5.78941,52.19493,TRUE,TRUE,TRUE,TRUE
